,vaccination_date,agerange,firstdailydose,firstdailydosecumulative,seconddailydosecumulative,singledailydosecumulative,thirddailydosecumulative,combinedalldosescumulative,fullyvaccinatedcumulative,firstboosterdailydosecumulative,secondboosterdailydosecumulative,seconddailydose,fullyvaccinated,firstboosterdailydose,singledailydose,secondboosterdailydose,thirddailydose
0,1971-02-20 10:00:00,18-49,1.0,1,0,0,0,0,0,0,0,,,,,,
1,1971-06-18 11:00:00,18-49,1.0,2,0,0,0,0,0,0,0,,,,,,
2,1971-10-01 11:00:00,12-17,1.0,1,0,0,0,0,0,0,0,,,,,,
3,1972-04-27 10:00:00,18-49,1.0,3,0,0,0,0,0,0,0,,,,,,
4,1979-07-27 11:00:00,12-17,1.0,2,0,0,0,0,0,0,0,,,,,,
5,1981-03-22 10:00:00,18-49,1.0,4,0,0,0,0,0,0,0,,,,,,
6,1981-12-18 10:00:00,18-49,1.0,5,0,0,0,0,0,0,0,,,,,,
7,1996-04-05 10:00:00,18-49,1.0,6,0,0,0,0,0,0,0,,,,,,
8,2000-01-01 10:00:00,18-49,1.0,7,0,0,0,0,0,0,0,,,,,,
9,2000-02-09 10:00:00,12-17,1.0,3,0,0,0,0,0,0,0,,,,,,
10,2000-02-25 10:00:00,50-64,1.0,1,0,0,0,0,0,0,0,,,,,,
11,2000-12-18 10:00:00,18-49,1.0,8,0,0,0,0,0,0,0,,,,,,
12,2000-12-21 10:00:00,18-49,1.0,9,0,0,0,0,0,0,0,,,,,,
13,2000-12-23 10:00:00,18-49,1.0,10,0,0,0,0,0,0,0,,,,,,
14,2001-01-01 10:00:00,18-49,1.0,11,0,0,0,0,0,0,0,,,,,,
15,2001-01-01 10:00:00,50-64,2.0,3,0,0,0,0,0,0,0,,,,,,
16,2001-01-01 10:00:00,65 and Older,1.0,1,0,0,0,0,0,0,0,,,,,,
17,2001-01-15 10:00:00,12-17,1.0,4,0,0,0,0,0,0,0,,,,,,
18,2001-01-25 10:00:00,50-64,1.0,4,0,0,0,0,0,0,0,,,,,,
19,2001-01-26 10:00:00,50-64,1.0,5,0,0,0,0,0,0,0,,,,,,
20,2001-01-27 10:00:00,65 and Older,1.0,2,0,0,0,0,0,0,0,,,,,,
21,2001-02-02 10:00:00,18-49,1.0,12,0,0,0,0,0,0,0,,,,,,
22,2001-02-03 10:00:00,18-49,1.0,13,0,0,0,0,0,0,0,,,,,,
23,2001-02-16 10:00:00,12-17,,4,1,0,0,0,1,0,0,1.0,1.0,,,,
24,2001-02-22 10:00:00,12-17,1.0,5,1,0,0,0,1,0,0,,,,,,
25,2001-02-24 10:00:00,50-64,1.0,6,0,0,0,0,0,0,0,,,,,,
26,2001-02-25 10:00:00,18-49,1.0,14,0,0,0,0,0,0,0,,,,,,
27,2001-03-01 10:00:00,65 and Older,1.0,3,0,0,0,0,0,0,0,,,,,,
28,2001-03-12 10:00:00,50-64,1.0,7,0,0,0,0,0,0,0,,,,,,
29,2001-03-25 10:00:00,50-64,1.0,8,0,0,0,0,0,0,0,,,,,,
30,2001-03-27 10:00:00,65 and Older,1.0,4,0,0,0,0,0,0,0,,,,,,
31,2001-03-30 10:00:00,18-49,1.0,15,0,0,0,0,0,0,0,,,,,,
32,2001-04-08 11:00:00,50-64,1.0,9,0,0,0,0,0,0,0,,,,,,
33,2001-04-20 11:00:00,12-17,1.0,6,1,0,0,0,1,0,0,,,,,,
34,2001-04-21 11:00:00,18-49,1.0,16,0,0,0,0,0,0,0,,,,,,
35,2001-05-24 11:00:00,12-17,1.0,7,1,0,0,0,1,0,0,,,,,,
36,2001-05-24 11:00:00,18-49,1.0,17,0,0,0,0,0,0,0,,,,,,
37,2001-05-26 11:00:00,50-64,1.0,10,0,0,0,0,0,0,0,,,,,,
38,2001-06-02 11:00:00,18-49,1.0,18,0,0,0,0,0,0,0,,,,,,
39,2001-06-09 11:00:00,18-49,1.0,19,0,0,0,0,0,0,0,,,,,,
40,2001-07-21 11:00:00,18-49,1.0,20,0,0,0,0,0,0,0,,,,,,
41,2001-08-06 11:00:00,18-49,1.0,21,0,0,0,0,0,0,0,,,,,,
42,2001-08-25 11:00:00,12-17,1.0,8,1,0,0,0,1,0,0,,,,,,
43,2001-09-04 11:00:00,18-49,1.0,22,0,0,0,0,0,0,0,,,,,,
44,2001-09-25 11:00:00,18-49,1.0,23,0,0,0,0,0,0,0,,,,,,
45,2001-10-04 11:00:00,18-49,1.0,24,0,0,0,0,0,0,0,,,,,,
46,2001-10-06 11:00:00,12-17,1.0,9,1,0,0,0,1,0,0,,,,,,
47,2001-10-10 11:00:00,18-49,1.0,25,0,0,0,0,0,0,0,,,,,,
48,2001-10-31 10:00:00,50-64,1.0,11,0,0,0,0,0,0,0,,,,,,
49,2001-11-01 10:00:00,50-64,1.0,12,0,0,0,0,0,0,0,,,,,,
50,2001-12-05 10:00:00,18-49,1.0,26,0,0,0,0,0,0,0,,,,,,
51,2002-02-09 10:00:00,18-49,1.0,27,0,0,0,0,0,0,0,,,,,,
52,2002-02-10 10:00:00,12-17,1.0,10,1,0,0,0,1,0,0,,,,,,
53,2002-02-18 10:00:00,12-17,1.0,11,1,0,0,0,1,0,0,,,,,,
54,2002-03-04 10:00:00,18-49,1.0,28,0,0,0,0,0,0,0,,,,,,
55,2002-03-29 10:00:00,18-49,1.0,29,0,0,0,0,0,0,0,,,,,,
