,date,fullyvaxed,date_year,MD_Population,Percentage MD Population Vaccinated
0,2021-01-01,1578,2021,6165000,0.0002559610705596107
1,2021-01-02,1634,2021,6165000,0.00026504460665044606
2,2021-01-03,1748,2021,6165000,0.0002835360908353609
3,2021-01-04,2206,2021,6165000,0.0003578264395782644
4,2021-01-05,3055,2021,6165000,0.0004955393349553933
5,2021-01-06,4372,2021,6165000,0.0007091646390916464
6,2021-01-07,6722,2021,6165000,0.0010903487429034875
7,2021-01-08,10167,2021,6165000,0.001649148418491484
8,2021-01-09,11389,2021,6165000,0.0018473641524736416
9,2021-01-10,11873,2021,6165000,0.0019258718572587187
10,2021-01-11,15956,2021,6165000,0.0025881589618815897
11,2021-01-12,22252,2021,6165000,0.0036094079480940796
12,2021-01-13,26835,2021,6165000,0.00435279805352798
13,2021-01-14,29272,2021,6165000,0.0047480940794809405
14,2021-01-15,31758,2021,6165000,0.005151338199513382
15,2021-01-16,33532,2021,6165000,0.0054390916463909166
16,2021-01-17,35039,2021,6165000,0.005683536090835361
17,2021-01-18,38585,2021,6165000,0.006258718572587186
18,2021-01-19,44789,2021,6165000,0.007265044606650446
19,2021-01-20,50524,2021,6165000,0.00819529602595296
20,2021-01-21,54968,2021,6165000,0.008916139497161395
21,2021-01-22,59106,2021,6165000,0.009587347931873479
22,2021-01-23,61308,2021,6165000,0.009944525547445255
23,2021-01-24,63143,2021,6165000,0.010242173560421735
24,2021-01-25,72715,2021,6165000,0.011794809407948094
25,2021-01-26,82387,2021,6165000,0.013363665855636659
26,2021-01-27,96119,2021,6165000,0.015591078669910786
27,2021-01-28,106146,2021,6165000,0.017217518248175183
28,2021-01-29,115004,2021,6165000,0.01865433901054339
29,2021-01-30,118057,2021,6165000,0.01914955393349554
30,2021-01-31,119915,2021,6165000,0.01945093268450933
31,2021-02-01,126113,2021,6165000,0.020456285482562855
32,2021-02-02,140750,2021,6165000,0.022830494728304947
33,2021-02-03,160120,2021,6165000,0.02597242497972425
34,2021-02-04,176909,2021,6165000,0.028695701540957016
35,2021-02-05,195801,2021,6165000,0.03176009732360097
36,2021-02-06,211031,2021,6165000,0.034230494728304944
37,2021-02-07,205643,2021,6165000,0.03335652879156529
38,2021-02-08,219162,2021,6165000,0.03554939172749392
39,2021-02-09,233677,2021,6165000,0.03790381184103812
40,2021-02-10,255698,2021,6165000,0.041475750202757504
41,2021-02-11,273936,2021,6165000,0.044434063260340634
42,2021-02-12,294630,2021,6165000,0.04779075425790754
43,2021-02-13,301310,2021,6165000,0.0488742903487429
44,2021-02-14,303689,2021,6165000,0.04926017842660178
45,2021-02-15,318029,2021,6165000,0.05158621248986212
46,2021-02-16,339832,2021,6165000,0.0551227899432279
47,2021-02-17,366916,2021,6165000,0.059515977291159775
48,2021-02-18,371831,2021,6165000,0.0603132197891322
49,2021-02-19,392462,2021,6165000,0.06365969180859692
50,2021-02-20,413849,2021,6165000,0.06712879156528792
51,2021-02-21,421897,2021,6165000,0.06843422546634226
52,2021-02-22,437932,2021,6165000,0.07103519870235199
53,2021-02-23,454706,2021,6165000,0.07375604217356042
54,2021-02-24,480197,2021,6165000,0.07789083536090835
55,2021-02-25,507616,2021,6165000,0.08233836171938362
56,2021-02-26,534543,2021,6165000,0.08670608272506082
57,2021-02-27,546239,2021,6165000,0.08860324412003244
58,2021-02-28,551357,2021,6165000,0.08943341443633414
59,2021-03-01,565008,2021,6165000,0.09164768856447689
60,2021-03-02,579051,2021,6165000,0.09392554744525547
61,2021-03-03,598281,2021,6165000,0.0970447688564477
62,2021-03-04,621283,2021,6165000,0.10077583130575832
63,2021-03-05,646830,2021,6165000,0.10491970802919708
64,2021-03-06,663191,2021,6165000,0.1075735604217356
65,2021-03-07,674996,2021,6165000,0.10948840227088402
66,2021-03-08,692937,2021,6165000,0.1123985401459854
67,2021-03-09,717624,2021,6165000,0.1164029197080292
68,2021-03-10,742430,2021,6165000,0.12042660178426602
69,2021-03-11,763412,2021,6165000,0.12383000811030008
70,2021-03-12,785363,2021,6165000,0.12739059205190592
71,2021-03-13,797955,2021,6165000,0.1294330900243309
72,2021-03-14,806095,2021,6165000,0.13075344687753446
73,2021-03-15,818696,2021,6165000,0.13279740470397405
74,2021-03-16,833787,2021,6165000,0.13524525547445254
75,2021-03-17,852863,2021,6165000,0.13833949716139496
76,2021-03-18,867523,2021,6165000,0.14071743714517437
77,2021-03-19,884574,2021,6165000,0.14348321167883213
78,2021-03-20,896017,2021,6165000,0.14533933495539336
79,2021-03-21,904623,2021,6165000,0.1467352798053528
80,2021-03-22,917526,2021,6165000,0.14882822384428224
81,2021-03-23,937571,2021,6165000,0.15207964314679642
82,2021-03-24,961040,2021,6165000,0.15588645579886456
83,2021-03-25,986310,2021,6165000,0.15998540145985402
84,2021-03-26,1016389,2021,6165000,0.16486439578264395
85,2021-03-27,1036869,2021,6165000,0.16818637469586376
86,2021-03-28,1051429,2021,6165000,0.17054809407948093
87,2021-03-29,1079737,2021,6165000,0.17513982157339822
88,2021-03-30,1111531,2021,6165000,0.18029699918897
89,2021-03-31,1153067,2021,6165000,0.18703438767234387
90,2021-04-01,1201900,2021,6165000,0.19495539334955395
91,2021-04-02,1241695,2021,6165000,0.20141038118410381
92,2021-04-03,1266069,2021,6165000,0.2053639902676399
93,2021-04-04,1277490,2021,6165000,0.20721654501216544
94,2021-04-05,1313972,2021,6165000,0.21313414436334144
95,2021-04-06,1355963,2021,6165000,0.21994533657745335
96,2021-04-07,1404475,2021,6165000,0.22781427412814273
97,2021-04-08,1455699,2021,6165000,0.23612311435523115
98,2021-04-09,1507763,2021,6165000,0.2445682076236821
99,2021-04-10,1539593,2021,6165000,0.24973122465531225
100,2021-04-11,1563513,2021,6165000,0.25361119221411194
101,2021-04-12,1608814,2021,6165000,0.2609592862935929
102,2021-04-13,1647238,2021,6165000,0.2671918896999189
103,2021-04-14,1686343,2021,6165000,0.27353495539334954
104,2021-04-15,1726382,2021,6165000,0.2800295214922952
105,2021-04-16,1765319,2021,6165000,0.28634533657745337
106,2021-04-17,1786883,2021,6165000,0.2898431467964315
107,2021-04-18,1803474,2021,6165000,0.29253430656934304
108,2021-04-19,1838891,2021,6165000,0.29827915652879156
109,2021-04-20,1882441,2021,6165000,0.3053432278994323
110,2021-04-21,1929566,2021,6165000,0.31298718572587186
111,2021-04-22,1973153,2021,6165000,0.3200572587185726
112,2021-04-23,2014038,2021,6165000,0.3266890510948905
113,2021-04-24,2043083,2021,6165000,0.33140032441200323
114,2021-04-25,2052279,2021,6165000,0.3328919708029197
115,2021-04-26,2084537,2021,6165000,0.3381244120032441
116,2021-04-27,2119691,2021,6165000,0.343826601784266
117,2021-04-28,2162034,2021,6165000,0.35069489051094893
118,2021-04-29,2203793,2021,6165000,0.35746845093268453
119,2021-04-30,2239140,2021,6165000,0.3632019464720195
120,2021-05-01,2266474,2021,6165000,0.36763568532035684
121,2021-05-02,2282917,2021,6165000,0.3703028386050284
122,2021-05-03,2312530,2021,6165000,0.3751062449310624
123,2021-05-04,2354089,2021,6165000,0.38184736415247367
124,2021-05-05,2394318,2021,6165000,0.3883727493917275
125,2021-05-06,2436885,2021,6165000,0.3952773722627737
126,2021-05-07,2476130,2021,6165000,0.4016431467964315
127,2021-05-08,2508026,2021,6165000,0.40681686942416867
128,2021-05-09,2521211,2021,6165000,0.40895555555555557
129,2021-05-10,2552632,2021,6165000,0.4140522303325223
130,2021-05-11,2585246,2021,6165000,0.4193424168694242
131,2021-05-12,2625772,2021,6165000,0.42591597729115976
132,2021-05-13,2661675,2021,6165000,0.4317396593673966
133,2021-05-14,2693413,2021,6165000,0.4368877534468775
134,2021-05-15,2719089,2021,6165000,0.44105255474452554
135,2021-05-16,2738135,2021,6165000,0.4441419302514193
136,2021-05-17,2766684,2021,6165000,0.4487727493917275
137,2021-05-18,2800028,2021,6165000,0.45418134630981344
