,date,tavg
0,2021-01-01,0.4
1,2021-01-02,5.5
2,2021-01-03,2.2
3,2021-01-04,2.6
4,2021-01-05,2.4
5,2021-01-06,2.5
6,2021-01-07,1.3
7,2021-01-08,-0.7
8,2021-01-09,1.4
9,2021-01-10,0.3
10,2021-01-11,-1.1
11,2021-01-12,-0.9
12,2021-01-13,-0.1
13,2021-01-14,1.6
14,2021-01-15,3.6
15,2021-01-16,3.1
16,2021-01-17,2.6
17,2021-01-18,1.4
18,2021-01-19,1.2
19,2021-01-20,0.5
20,2021-01-21,0.4
21,2021-01-22,1.8
22,2021-01-23,-1.2
23,2021-01-24,-1.7
24,2021-01-25,0.1
25,2021-01-26,-0.0
26,2021-01-27,2.1
27,2021-01-28,-0.9
28,2021-01-29,-2.4
29,2021-01-30,-2.7
30,2021-01-31,-1.5
31,2021-02-01,-0.6
32,2021-02-02,-0.4
33,2021-02-03,0.3
34,2021-02-04,0.6
35,2021-02-05,4.8
36,2021-02-06,2.0
37,2021-02-07,0.7
38,2021-02-08,-2.7
39,2021-02-09,2.0
40,2021-02-10,0.1
41,2021-02-11,-0.4
42,2021-02-12,-2.1
43,2021-02-13,-2.1
44,2021-02-14,-0.8
45,2021-02-15,0.8
46,2021-02-16,1.9
47,2021-02-17,-2.2
48,2021-02-18,-1.9
49,2021-02-19,-0.4
50,2021-02-20,-2.2
51,2021-02-21,-2.1
52,2021-02-22,-0.6
53,2021-02-23,4.1
54,2021-02-24,5.6
55,2021-02-25,6.1
56,2021-02-26,3.3
57,2021-02-27,4.1
58,2021-02-28,4.7
59,2021-03-01,5.9
60,2021-03-02,0.4
61,2021-03-03,3.1
62,2021-03-04,4.7
63,2021-03-05,-0.1
64,2021-03-06,0.8
65,2021-03-07,-0.3
66,2021-03-08,1.3
67,2021-03-09,9.0
68,2021-03-10,10.0
69,2021-03-11,13.7
70,2021-03-12,14.4
71,2021-03-13,7.6
72,2021-03-14,9.3
73,2021-03-15,2.3
74,2021-03-16,4.0
75,2021-03-17,5.7
76,2021-03-18,8.0
77,2021-03-19,5.1
78,2021-03-20,3.7
79,2021-03-21,5.6
80,2021-03-22,6.6
81,2021-03-23,10.0
82,2021-03-24,11.7
83,2021-03-25,13.4
84,2021-03-26,20.0
85,2021-03-27,13.6
86,2021-03-28,14.2
87,2021-03-29,8.2
88,2021-03-30,10.3
89,2021-03-31,14.2
90,2021-04-01,6.3
91,2021-04-02,1.9
92,2021-04-03,3.7
93,2021-04-04,10.5
94,2021-04-05,12.1
95,2021-04-06,14.0
96,2021-04-07,16.0
97,2021-04-08,14.4
98,2021-04-09,11.2
99,2021-04-10,13.7
100,2021-04-11,17.9
101,2021-04-12,11.0
102,2021-04-13,11.2
103,2021-04-14,11.0
104,2021-04-15,12.3
105,2021-04-16,8.2
106,2021-04-17,8.6
107,2021-04-18,9.8
108,2021-04-19,9.9
109,2021-04-20,13.0
110,2021-04-21,11.2
111,2021-04-22,4.4
112,2021-04-23,7.6
113,2021-04-24,10.6
114,2021-04-25,12.1
115,2021-04-26,10.5
116,2021-04-27,15.8
117,2021-04-28,20.6
118,2021-04-29,21.4
119,2021-04-30,15.5
120,2021-05-01,11.1
121,2021-05-02,17.2
122,2021-05-03,18.2
123,2021-05-04,20.7
124,2021-05-05,17.2
125,2021-05-06,11.1
126,2021-05-07,9.2
127,2021-05-08,7.2
128,2021-05-09,9.9
129,2021-05-10,12.7
130,2021-05-11,12.4
131,2021-05-12,10.8
132,2021-05-13,12.5
133,2021-05-14,13.7
134,2021-05-15,14.7
135,2021-05-16,11.5
136,2021-05-17,14.2
137,2021-05-18,15.2
138,2021-05-19,17.9
139,2021-05-20,19.4
140,2021-05-21,17.2
141,2021-05-22,20.9
142,2021-05-23,24.1
143,2021-05-24,16.9
144,2021-05-25,16.7
145,2021-05-26,21.6
146,2021-05-27,20.9
147,2021-05-28,17.4
148,2021-05-29,10.0
149,2021-05-30,9.8
150,2021-05-31,13.7
151,2021-06-01,16.4
152,2021-06-02,19.1
153,2021-06-03,20.5
154,2021-06-04,21.7
155,2021-06-05,22.8
156,2021-06-06,24.2
157,2021-06-07,25.9
158,2021-06-08,24.2
159,2021-06-09,24.3
160,2021-06-10,22.8
161,2021-06-11,19.2
162,2021-06-12,19.4
163,2021-06-13,20.9
164,2021-06-14,22.6
165,2021-06-15,20.6
166,2021-06-16,18.7
167,2021-06-17,17.9
168,2021-06-18,20.5
169,2021-06-19,22.8
170,2021-06-20,25.2
171,2021-06-21,26.6
172,2021-06-22,20.3
173,2021-06-23,17.0
174,2021-06-24,18.2
175,2021-06-25,19.6
176,2021-06-26,23.8
177,2021-06-27,25.8
178,2021-06-28,26.6
179,2021-06-29,27.8
180,2021-06-30,28.5
181,2021-07-01,25.1
182,2021-07-02,21.7
183,2021-07-03,19.6
184,2021-07-04,21.3
185,2021-07-05,24.3
186,2021-07-06,25.8
187,2021-07-07,25.3
188,2021-07-08,22.8
189,2021-07-09,22.7
190,2021-07-10,21.1
191,2021-07-11,24.6
192,2021-07-12,25.9
193,2021-07-13,26.3
194,2021-07-14,24.8
195,2021-07-15,24.7
196,2021-07-16,25.9
197,2021-07-17,25.0
198,2021-07-18,22.0
199,2021-07-19,22.4
200,2021-07-20,24.0
201,2021-07-21,22.7
202,2021-07-22,20.1
203,2021-07-23,20.3
204,2021-07-24,21.3
205,2021-07-25,24.5
206,2021-07-26,25.2
207,2021-07-27,24.7
208,2021-07-28,24.5
209,2021-07-29,23.5
210,2021-07-30,23.5
211,2021-07-31,19.6
212,2021-08-01,19.8
213,2021-08-02,19.0
214,2021-08-03,19.0
215,2021-08-04,19.4
216,2021-08-05,22.3
217,2021-08-06,23.8
218,2021-08-07,19.8
219,2021-08-08,22.5
220,2021-08-09,22.9
221,2021-08-10,23.7
222,2021-08-11,24.1
223,2021-08-12,26.0
224,2021-08-13,25.4
225,2021-08-14,24.6
